år,uge,lottotal,tillægstal,6rigtige,5+rigtige,5rigtige,4rigtige,3rigtige
2011,1,6 10 11 21 44 47,14 41,3681153,35017,2442,99,38
2011,2,2 12 31 32 41 46,29 30,1874563,41482,2588,105,41
2011,3,1 4 25 32 33 34,5 27,1880664,101750,3259,107,40
2011,4,4 18 25 29 39 47,31 44,1868460,50725,3034,111,40
2011,5,8 18 28 32 42 44,23 48,8500476,53630,2657,105,40
2011,6,1 14 18 20 25 41,3 39,3712973,112758,2577,108,40
2011,7,7 11 25 27 37 47,10 32,4572399,99314,1894,90,39
2011,8,13 18 25 30 37 40,11 43,3661555,65031,2196,106,41
2011,9,3 4 11 14 18 31,23 33,1832635,41019,1851,85,35
2011,10,3 7 8 31 35 37,18 33,0,101577,2910,109,39
2011,11,5 22 25 36 37 47,27 44,7330752,143483,2650,108,41
2011,12,10 12 15 40 42 45,13 25,9660241,69149,2224,106,40
2011,13,22 30 31 34 41 48,11 37,5698963,98398,2331,112,41
2011,14,6 8 13 18 27 37,16 34,7000000,101658,1812,92,37
2011,15,3 5 11 19 30 31,9 13,7319165,48541,2051,83,34
2011,16,4 6 22 24 29 47,27 37,3699429,38911,2975,102,38
2011,17,3 15 27 30 44 46,38 42,0,89188,2559,104,39
2011,18,11 17 23 24 27 48,39 44,0,120436,2170,97,37
2011,19,9 31 33 37 46 48,13 16,10156852,53436,3208,111,41
2011,20,15 34 36 43 44 47,2 40,1167774,0,4004,143,44
2011,21,1 5 9 21 31 32,2 30,0,94058,1901,86,35
2011,22,12 14 19 41 42 44,22 25,0,120779,2545,105,41
2011,23,11 17 18 25 35 44,16 40,7396587,38491,2488,101,39
2011,24,9 28 34 38 42 44,10 18,0,106348,2114,107,40
2011,25,1 3 14 18 21 48,11 25,2646566,34053,2386,97,37
2011,26,6 28 32 40 42 48,7 27,0,37384,2195,104,40
2011,27,2 6 8 18 37 48,14 25,4333145,94185,2145,104,39
2011,28,3 5 7 12 15 18,44 45,1047941,47110,1207,73,33
2011,29,2 3 4 21 30 32,12 45,4091931,121187,2155,95,36
2011,30,9 13 14 33 38 41,18 24,4886481,77894,2444,100,38
2011,31,6 13 18 34 35 45,33 38,4394234,38133,2386,106,40
2011,32,9 22 23 33 42 47,27 36,4604705,117192,2470,96,38
2011,33,1 9 38 41 43 48,20 21,4863351,123930,2412,104,40
2011,34,2 8 24 28 33 35,14 43,7000000,52972,2902,98,37
2011,35,2 16 19 23 31 32,5 7,7000000,71203,2505,99,38
2011,36,10 25 30 33 44 46,19 41,5800703,46074,2409,107,40
2011,37,2 9 16 17 38 42,15 35,2011512,93793,2530,101,38
2011,38,2 7 13 26 30 42,10 31,3136956,121677,2487,99,38
2011,39,5 19 25 26 41 46,16 21,3807537,169593,2879,105,40
2011,40,13 17 19 20 28 34,10 45,2265762,60624,1803,93,37
2011,41,3 14 16 24 34 45,22 26,6743977,59676,2086,98,38
2011,42,2 13 14 26 32 45,21 36,7283340,105231,2580,100,39
2011,43,10 14 31 32 42 47,11 46,3513224,52216,2645,107,40
2011,44,5 14 16 24 38 46,15 30,2753867,156268,2582,105,39
2011,45,2 4 14 24 27 46,17 28,2851431,49157,2068,94,37
2011,46,3 4 7 8 34 39,19 27,1939101,64250,2248,96,37
2011,47,9 16 22 24 41 47,1 20,5546424,67842,2519,101,38
2011,48,3 8 10 27 30 41,9 44,2929091,60007,2284,95,37
2011,49,1 22 32 42 44 46,20 26,3606929,68282,2706,104,40
2011,50,2 11 34 36 44 48,45 47,0,91668,2506,103,39
2011,51,12 17 23 35 40 44,5 22,0,99491,2461,104,39
2011,52,4 14 30 40 44 45,15 39,11836797,103381,2749,103,39
2012,1,6 8 13 26 29 45,7 39,2651888,64709,2292,100,38
2012,2,4 14 17 38 39 42,7 16,3376481,78598,2466,104,39
2012,3,23 25 26 31 36 45,13 18,26004370,57875,2468,108,41
2012,4,27 31 35 36 40 48,13 33,0,136546,2593,112,41
2012,5,17 20 25 39 41 48,22 44,6056438,69723,2647,109,41
2012,6,5 11 13 20 29 44,10 38,2417553,144814,2083,96,37
2012,7,2 3 7 14 32 39,21 44,8089622,121078,2591,94,36
2012,8,1 10 14 18 42 48,15 20,7000000,76206,2527,105,39
2012,9,3 10 18 29 41 45,12 22,1447493,77902,2354,102,39
2012,10,16 38 44 46 47 48,5 15,0,226565,2250,96,42
2012,11,3 22 25 32 43 46,35 41,7350433,83812,2485,111,40
2012,12,8 13 17 22 29 32,10 41,17473511,57320,2151,86,35
2012,13,7 16 27 28 35 45,6 14,4031579,72369,2067,96,36
2012,14,23 24 34 37 39 44,26 41,4307348,77948,2164,107,42
2012,15,5 27 33 40 45 47,17 44,5246154,70277,2538,103,39
2012,16,9 32 34 39 43 44,35 36,0,107200,2493,107,40
2012,17,7 9 18 19 35 40,4 22,8042267,85382,5564,206,74
2012,18,2 7 12 17 23 39,11 14,3700259,36140,1981,91,36
2012,19,14 20 36 37 42 46,8 19,3500000,0,4218,152,46
2012,20,5 7 25 34 41 45,3 4,3863048,51964,2856,105,40
2012,21,11 21 23 42 44 47,2 5,0,260410,2785,102,39
2012,22,12 36 37 39 42 48,6 45,7924376,56289,3518,113,43
2012,23,4 5 12 42 46 48,6 14,1347428,37251,2877,111,41
2012,24,6 20 22 32 37 46,1 27,0,80906,2725,110,41
2012,25,2 6 10 31 34 37,23 33,8521225,120218,2657,107,39
2012,26,1 12 15 20 32 48,33 43,1463066,239175,2409,107,39
2012,27,9 10 12 18 23 36,44 48,4553982,120151,2532,95,37
2012,28,1 2 13 18 23 40,32 47,1169418,124236,2885,102,37
2012,29,3 7 12 20 26 39,25 45,3728799,126750,2409,97,37
2012,30,10 13 18 25 30 41,8 29,3500000,239543,2486,100,39
2012,31,6 11 19 21 24 41,27 33,0,44226,2356,95,36
2012,32,23 28 37 39 42 45,11 33,0,96016,2523,106,41
2012,33,1 10 16 17 31 46,22 34,8067468,55920,2582,104,39
2012,34,5 12 13 36 38 41,40 46,1795527,89843,2303,111,41
2012,35,16 21 34 36 43 47,12 17,2652133,34306,2679,105,40
2012,36,5 7 9 19 27 32,38 42,1701034,72124,1673,77,33
2012,37,1 3 11 16 37 43,13 23,1888697,66227,2509,103,39
2012,38,5 7 8 16 36 37,20 29,1402634,67361,2701,104,38
2012,39,3 15 17 18 34 48,9 14,0,73515,2504,102,38
2012,40,9 12 24 31 34 47,10 17,12011264,62058,2462,105,40
2012,41,3 7 29 34 41 44,14 22,0,55001,2647,100,40
2012,42,1 3 4 13 27 31,39 42,4112855,89717,1613,83,40
2012,43,14 15 25 30 44 47,19 46,0,321735,2361,109,41
2012,44,2 12 17 18 22 34,32 37,7203180,72677,2451,95,40
2012,45,5 17 20 22 36 38,18 34,3881621,125411,2418,107,39
2012,46,4 18 20 25 37 38,11 17,49937681,127219,2222,107,41
2012,47,26 29 38 39 41 44,5 25,4937719,61147,2576,103,40
2012,48,2 15 26 29 43 48,9 20,4740209,45256,2461,106,40
2012,49,1 13 16 34 43 46,5 12,3200766,256644,2341,108,40
2012,50,4 6 11 17 36 37,20 39,1642305,50659,2088,103,39
2012,51,10 16 31 42 45 46,11 39,4962235,119629,2827,107,41
2012,52,5 8 10 24 30 33,28 40,1990125,100102,1963,91,36
2013,1,1 10 13 17 23 43,38 40,0,102746,2136,93,36
2013,2,15 21 34 36 39 43,20 38,9192891,249260,2473,108,40
2013,3,1 15 18 26 36 45,23 34,2321335,217054,2363,105,39
2013,4,4 13 21 31 44 47,12 33,0,110939,2820,107,41
2013,5,4 20 28 34 47 48,19 41,11833388,118625,2710,114,41
2013,6,5 19 26 27 37 45,1 18,4696319,47632,2719,114,42
2013,7,2 15 20 32 33 47,13 29,0,48610,1912,107,41
2013,8,7 8 9 13 31 38,16 43,9748122,94942,2049,95,37
2013,9,6 15 18 23 26 37,11 14,4881286,70277,2233,106,41
2013,10,9 10 20 40 41 42,26 43,1655111,307972,2362,109,41
2013,11,2 16 20 33 34 39,4 23,0,69303,2016,104,40
2013,12,17 25 28 29 38 42,6 24,4871200,70574,2381,114,42
2013,13,2 8 15 22 24 25,35 42,5112137,104063,2197,94,37
2013,14,2 7 8 14 30 44,11 33,0,82527,2200,105,39
2013,15,2 4 11 25 34 46,29 41,4559400,140854,3058,101,39
2013,16,8 28 30 39 43 45,7 26,2301849,67165,2385,116,43
2013,17,27 37 42 43 45 47,14 22,4647615,68119,2517,106,42
2013,18,7 16 26 27 39 46,24 32,4733099,97308,1814,102,39
2013,19,6 8 15 16 32 46,20 23,4715099,56816,2696,101,39
2013,20,13 15 27 28 38 39,31 35,97607229,101182,2382,103,39
2013,21,7 10 24 26 29 43,21 42,0,65263,2748,112,41
2013,22,5 9 11 13 18 47,30 42,0,70231,2125,94,37
2013,23,1 8 21 32 42 43,33 36,0,73152,2245,115,42
2013,24,5 15 16 25 34 41,13 44,0,120042,2192,103,40
2013,25,4 13 26 29 44 47,7 11,0,128304,2251,108,41
2013,26,17 22 25 32 39 43,7 47,25879023,45356,2214,111,42
2013,27,2 6 7 8 14 31,36 40,3737738,118993,1446,82,36
2013,28,17 19 21 25 30 37,24 43,2103686,227808,2082,107,40
2013,29,10 17 20 22 34 38,18 45,1403406,58531,1638,98,39
2013,30,4 27 31 33 36 48,2 7,0,113231,2932,117,42
2013,31,12 18 24 36 38 40,6 19,8480383,124897,2408,107,43
2013,32,6 8 9 10 23 34,11 32,7000000,41231,1861,91,36
2013,33,2 6 14 20 22 33,30 40,4204285,48946,1862,98,38
2013,34,4 16 21 32 40 45,3 44,56789170,34360,1790,97,40
2013,35,6 25 28 38 39 46,9 24,0,0,3724,138,44
2013,36,8 12 13 14 33 47,27 48,0,63646,2386,109,40
2013,37,3 8 25 32 34 45,20 22,0,39021,2290,108,41
2013,38,2 4 16 21 27 36,5 31,19969890,47871,1763,94,37
2013,39,2 5 19 28 33 46,34 38,4020560,67073,1817,104,39
2013,40,1 5 8 16 21 30,19 45,2013809,52452,1845,88,36
2013,41,8 21 26 33 35 43,37 48,4309807,37334,2398,106,41
2013,42,1 6 7 10 35 37,13 36,4148962,109378,2420,104,39
2013,43,10 32 33 34 37 48,4 30,0,45016,2268,120,43
2013,44,7 9 14 26 33 44,38 48,45969062,226515,2250,101,39
2013,45,1 9 21 35 37 46,3 7,5067523,197589,1834,113,41
2013,46,2 3 13 38 40 46,10 24,0,48036,2812,112,41
2013,0,1 12 14 20 24 28,30,0,146046,1809,114,41
2013,47,2 4 6 14 30 39,35 36,3982918,49650,2034,98,38
2013,48,6 8 9 13 27 40,16 30,3876686,92722,2056,87,35
2013,49,2 7 16 21 24 37,34 35,4055433,56443,2062,103,39
2013,50,3 6 7 13 34 35,30 32,14889744,44429,1857,97,37
2013,51,7 8 18 36 37 47,5 11,2815158,44340,3107,116,42
2013,52,5 7 13 29 33 39,27 47,4967563,84195,2070,98,38
2014,1,11 13 14 17 37 42,34 38,3616825,0,3461,142,43
2014,2,9 23 25 30 34 44,33 48,1254590,26113,2416,114,41
2014,3,6 12 21 26 46 48,23 28,0,89299,2410,112,41
2014,4,11 27 32 34 37 42,33 38,0,98634,2510,114,42
2014,5,1 5 11 23 33 41,20 26,15628459,103207,2023,97,37
2014,6,7 19 20 23 27 41,18 48,0,64654,2379,101,37
2014,7,3 15 17 27 44 46,22 42,16113428,107328,3073,98,39
2014,8,2 3 5 12 28 31,18 22,4380349,38014,1891,87,35
2014,9,8 9 11 23 36 42,7 46,13493785,59373,2667,114,40
2014,10,3 5 21 24 28 44,38 40,3802004,60251,1801,102,39
2014,11,16 23 26 31 39 43,18 42,0,91212,2240,112,41
2014,12,8 17 30 34 42 44,2 9,7961296,31369,2641,115,42
2014,13,6 9 13 18 22 27,15 20,840915,17310,1369,75,33
2014,14,6 9 12 25 27 42,3 37,3819609,35741,2234,102,39
2014,15,10 15 21 30 38 41,12 23,0,87522,2410,110,41
2014,16,18 19 27 29 40 46,24 41,0,98462,2292,114,41
2014,17,10 14 15 19 27 47,3 33,4216202,59143,2303,103,38
2014,18,9 15 17 37 44 45,12 14,1972032,61859,2503,119,42
2014,19,8 20 23 24 30 37,18 34,1398699,46911,2581,113,41
2014,20,11 29 33 38 43 44,8 18,0,64960,2348,113,42
2014,21,2 6 9 28 37 45,11 47,47559331,65167,1891,112,40
2014,22,2 13 16 24 38 39,10 30,6605496,84921,3567,116,42
2014,23,4 17 24 25 28 29,22 27,3537161,0,2956,121,39
2014,24,8 26 36 40 47 48,1 3,4658149,0,6603,142,44
2014,25,2 5 19 25 27 46,30 40,1730214,78895,1977,105,38
2014,26,1 7 15 20 24 37,38 41,0,156524,2203,109,40
2014,27,3 4 13 14 30 32,21 28,2921547,0,3246,122,39
2014,28,5 26 27 30 39 45,8 47,2241184,53879,3021,112,41
2014,29,1 20 21 25 29 30,12 43,1794038,52899,2328,104,39
2014,30,16 17 23 25 37 39,21 32,1749029,51632,2676,125,43
2014,31,15 22 28 29 31 32,1 23,3493552,0,4699,132,40
2014,32,25 27 41 43 46 47,31 44,0,54675,2513,115,44
2014,33,2 4 11 17 31 45,6 38,7385739,60491,1808,102,38
2014,34,5 10 17 27 33 45,18 20,3786196,90865,2015,98,38
2014,35,10 15 21 33 37 46,29 36,1967403,95466,2262,110,41
2014,36,2 17 25 27 31 37,9 24,1928068,66592,2110,102,39
2014,37,3 17 20 21 31 45,18 38,4029033,65800,2421,101,39
2014,38,8 9 13 20 39 41,2 23,3896074,40427,2167,108,39
2014,39,4 6 24 30 32 48,36 37,0,42557,2432,111,41
2014,40,15 32 36 37 45 46,17 31,0,74265,3257,114,43
2014,41,9 11 30 37 44 46,27 38,0,0,3766,144,44
2014,42,2 3 21 28 33 42,7 41,4338011,45970,2281,101,38
2014,43,2 14 16 17 25 31,47 48,32697182,41927,1943,104,39
2014,44,10 12 15 18 41 43,3 42,0,168540,2000,118,42
2014,45,2 6 25 39 40 44,34 41,0,90997,2505,119,43
2014,46,15 30 32 40 41 45,9 48,11592151,61807,2452,111,42
2014,47,24 27 28 31 35 38,22 44,4000000,83246,2551,115,42
2014,48,2 3 8 11 14 43,26 35,0,53930,1955,93,36
2014,49,1 4 13 17 32 34,24 38,2839588,90492,1944,96,37
2014,50,3.9.14.19 34 40,20 45,2.069.888,83.920,2.101,105,39
2014,51,7 13 22 26 42 48,38 46,4.000.000,164.954,2.273,102,40
2014,52,2 5 7 28 39 42,43 47,0,59251,1824,108,39
2014,1,6 17 19 38 39 46,22 24,8841068,49725,1923,118,43
2015,2,7 12 26 32 42 46,24 27,1872658,0,4325,144,44
2015,3,8 16 22 24 45 46,10 43,2013374,0,4160,142,42
2015,4,8 13 30 36 43 45,9 47,23482575,184666,3546,119,44
2015,5,2 9 10 18 25 31,1 20,3696495,81467,1870,94,37
2015,6,2 17 19 25 41 45,18 46,3616620,169550,2541,106,40
2015,7,4 6 10 23 29 30,9 48,0,80959,1716,92,37
2015,8,5 22 29 34 45 48,8 20,7341108,83046,3846,114,42
2015,9,5 11 12 20 26 47,18 35,7925671,27479,2317,109,39
2015,10,6 10 12 28 33 48,18 42,3254769,82193,2178,103,40
2015,11,8 13 20 23 37 38,9 32,0,39351,3207,116,42
2015,12,14 16 25 30 31 42,34 44,0,33411,2617,116,43
2015,13,3 6 14 28 32 35,22 43,10884159,171196,1900,101,38
2015,14,2 11 20 21 24 34,12 26,4000000,86624,1779,97,37
2015,15,4 10 21 25 29 32,17 39,18457970,77558,1465,96,38
2015,16,3 13 19 23 32 43,4 34,3444027,154418,2423,96,40
2015,17,9 13 14 19 22 27,12 25,1700991,25150,1352,79,34
2015,18,11 12 13 16 28 34,17 37,0,0,3140,129,40
2015,19,16 19 24 34 36 46,32 40,18166378,32186,2263,114,43
2015,20,11 19 30 40 43 47,12 36,3378455,25595,2205,114,43
2015,21,7 19 28 34 39 42,17 30,1672708,49887,2151,109,41
2015,22,3 8 16 20 32 34,9 13,0,20505,1500,93,37
2015,23,8 27 37 39 43 46,7 30,3369472,43424,2298,115,43
2015,24,7 16 26 27 32 36,22 42,2321829,80225,1873,103,40
2015,25,17 23 32 33 41 42,31 40,0,77136,2366,113,41
2015,26,7 10 16 34 37 38,40 46,6968280,82638,2854,119,42
2015,27,2 21 26 31 39 41,38 45,0,158540,2431,108,40
2015,28,1 25 28 29 42 43,4 44,0,0,4759,142,44
2015,28,1 25 28 29 42 43,4 44,0,0,4759,142,44
2015,29,13 14 15 18 23 46,8 21,6062335,177533,2350,103,41
2015,29,5 8 10 13 16 23,46 48,4000000,53670,1680,87,37
2015,31,6 14 17 23 26 32,8 38,19340631,40107,2303,100,39
2015,32,7 9 27 31 41 47,28 29,6193289,52365,2004,101,39
2015,33,2 3 14 15 24 28,9 21,3321851,50273,2080,92,36
2015,34,1 16 26 35 41 45,23 24,1669760,74949,2249,108,42
2015,35,11 27 29 37 44 45,1 28,1667650,73913,2432,112,42
2015,36,2 20 21 43 46 48,3 40,0,82024,3446,115,43
2015,37,12 15 17 19 20 32,31 39,0,51079,2600,100,38
2015,38,1 4 14 21 24 46,31 33,6826040,80715,2196,96,38
2015,39,5 7 10 13 31 34,4 28,4919056,49201,1830,90,36
2015,40,1 7 17 28 33 46,2 22,1691292,77805,2458,102,38
2015,41,3 5 24 25 30 31,27 44,5004604,55433,1773,104,39
2015,42,5 7 27 41 46 47,8 9,2512995,33278,2059,109,40
2015,43,12 17 30 32 41 42,33 46,2736327,171020,2421,113,42
2015,44,1 13 22 41 42 43,10 20,0,42767,2421,108,42
2015,45,3 10 12 20 27 43,16 18,17093153,92972,1950,99,38
2015,46,8 18 19 39 41 44,6 10,0,48544,2473,115,43
2015,47,11 18 22 24 39 46,31 41,0,76931,2747,111,41
2015,48,3 4 14 17 22 35,34 38,0,158213,1830,92,37
2015,49,4 7 10 41 42 44,20 43,20943572,191929,2142,110,41
2015,50,5 14 23 25 32 45,9 43,0,36286,1931,103,40
2015,51,15 32 40 43 45 46,5 36,2744094,62317,2231,107,42
2015,52,7 9 20 22 27 30,11 23,2965657,25767,1637,85,36
2015,53,9 16 24 39 43 47,1 44,1129127,48817,2650,107,41
2016,1,4 29 32 35 36 47,10 30,2552020,0,4208,137,44
2016,1,4 29 32 35 36 47,10 30,2552020,0,4208,137,44
2016,2,5 6 13 18 19 33,1 17,0,36898,2092,92,37
2016,3,1 2 20 25 31 34,9 30,3878228,92598,2420,108,40
2016,4,11 27 29 33 40 41,21 42,1920172,94391,1697,100,39
2016,5,19 23 31 40 43 48,5 17,1948601,200341,1754,115,42
2016,6,3 4 21 30 31 42,19 44,0,99909,2383,108,40
2016,7,6 14 19 29 31 35,41 47,4087638,50429,1884,105,40
2016,8,1 2 6 15 38 47,22 33,5989407,28016,1831,103,39
2016,9,18 33 37 40 45 46,9 43,2066918,106473,2947,115,43
2016,10,6 14 33 38 40 42,32 48,0,41002,2727,114,42
2016,11,11 12 37 40 45 47,3 22,12587985,99499,2998,117,43
2016,12,13 15 22 24 37 44,4 18,6657566,71300,2738,113,42
2016,13,6 7 9 19 23 42,1 2,5872466,37565,1830,88,36
2016,14,2 7 31 36 40 43,32 38,3323329,43430,2418,113,42
2016,15,6 13 23 26 35 41,17 45,3317304,35831,1855,107,40
2016,16,11 15 17 26 37 43,10 32,7083922,211042,2515,113,41
2016,17,8 13 15 22 24 48,9 14,6990336,70802,1982,102,38
2016,18,3 9 13 18 46 47,4 12,0,43888,1870,102,39
2016,19,4 8 19 20 30 38,26 29,4809723,53596,1702,98,39
2016,20,4 14 23 31 39 46,21 24,0,106326,1770,108,41
2016,21,4 6 8 13 40 47,26 34,2837232,221559,1912,102,38
2016,22,4 7 11 14 28 37,5 42,0,38909,1696,94,37
2016,23,10 11 21 22 45 47,24 46,15069072,243776,1955,103,39
2016,24,5 15 33 42 45 48,1 25,7466462,0,4015,129,43
2016,25,4 22 27 30 34 47,1 17,7827299,119284,2456,104,39
2016,26,10 22 23 35 37 45,27 48,4014718,117638,2286,110,41
2016,27,1 11 16 21 31 39,32 46,2742591,0,2626,99,40
2016,28,1 2 14 25 32 36,9 33,0,245322,2349,113,41
2016,28,18 22 28 29 39 41,26 37,0,131908,2335,111,41
2016,29,18 22 28 29 39 41,26 37,0,121908,2335,111,41
2016,30,10 14 16 18 30 38,29 33,12449707,83248,1852,108,41
2016,31,4 10 13 14 25 35,5 41,8429027,42966,2247,100,39
2016,32,8 16 21 28 31 32,1 30,1824942,49689,1822,92,38
2016,33,2 3 8 23 24 48,5 32,140358416,47967,2147,97,38
2016,34,9 16 23 43 45 48,8 30,1920100,161182,2033,109,42
2016,35,9 15 18 31 46 48,19 27,8387517,163471,1889,114,42
2016,36,1 9 14 15 27 36,8 17,2614303,78992,1686,97,36
2016,37,7 8 19 28 43 44,20 25,7753730,38253,2311,109,41
2016,38,13 14 31 35 40 41,3 9,5094964,0,3766,139,44
2016,39,6 19 23 26 31 38,5 28,5083077,74713,2669,104,41
2016,40,2 9 13 21 26 39,1 31,1704221,55193,1640,88,36
2016,41,9 16 27 41 43 48,22 46,0,81726,1921,101,40
2016,42,1 2 5 10 20 29,21 27,17935585,41615,1359,78,35
2016,43,10 27 35 43 46 48,23 34,2405554,47790,2267,110,42
2016,44,14 17 19 23 24 39,21 22,0,152042,2112,102,40
2016,45,14 15 17 23 26 33,35 36,9873165,49860,1822,95,37
2016,46,8 13 23 36 43 44,16 28,4922301,49209,2183,110,42
2016,47,4 12 19 27 36 45,2 26,1234273,72825,1659,105,40
2016,48,1 8 17 23 43 45,14 28,5154309,81883,2419,107,41
2016,49,2 21 28 36 43 48,37 40,1716478,37974,2577,109,42
2016,50,2 6 18 26 27 40,10 32,2783819,165627,1794,97,38
2016,51,2 15 33 34 37 38,7 47,2858244,33228,2056,108,42
2016,52,8 13 16 23 31 40,5 12,2815327,152957,2043,101,39
